time,open,high,low,close,tick_volume,spread,real_volume
2026-04-30 10:10:00,4594.69,4595.32,4590.25,4591.6,1142,42,0
2026-04-30 10:15:00,4591.55,4593.54,4587.45,4588.08,1151,42,0
2026-04-30 10:20:00,4588.16,4588.8,4584.86,4588.0,989,42,0
2026-04-30 10:25:00,4587.99,4591.43,4586.9,4591.43,1051,42,0
2026-04-30 10:30:00,4591.44,4592.65,4588.41,4588.82,1091,43,0
2026-04-30 10:35:00,4588.81,4592.31,4587.88,4589.88,945,43,0
2026-04-30 10:40:00,4589.85,4597.96,4589.82,4596.63,873,43,0
2026-04-30 10:45:00,4596.64,4600.78,4593.46,4600.62,1103,43,0
2026-04-30 10:50:00,4600.64,4601.18,4596.65,4600.33,936,42,0
2026-04-30 10:55:00,4600.4,4605.28,4596.53,4598.37,1226,42,0
2026-04-30 11:00:00,4598.38,4627.85,4597.22,4626.26,1537,46,0
2026-04-30 11:05:00,4626.92,4629.64,4616.72,4619.79,1654,47,0
2026-04-30 11:10:00,4619.8,4621.69,4615.33,4618.7,1239,46,0
2026-04-30 11:15:00,4618.71,4620.39,4613.31,4614.31,984,44,0
2026-04-30 11:20:00,4614.28,4616.29,4611.89,4615.14,1069,45,0
2026-04-30 11:25:00,4615.16,4620.23,4614.98,4617.36,1165,46,0
2026-04-30 11:30:00,4617.35,4620.5,4615.24,4616.86,1138,45,0
2026-04-30 11:35:00,4616.82,4620.5,4614.05,4616.06,1140,44,0
2026-04-30 11:40:00,4616.04,4616.13,4613.67,4614.82,1066,42,0
2026-04-30 11:45:00,4614.92,4619.22,4614.17,4617.4,1064,44,0
2026-04-30 11:50:00,4617.37,4618.43,4615.48,4616.84,970,44,0
2026-04-30 11:55:00,4616.83,4617.34,4615.56,4616.21,863,44,0
2026-04-30 12:00:00,4616.3,4617.75,4614.98,4617.04,920,45,0
2026-04-30 12:05:00,4617.0,4619.99,4614.08,4619.9,1081,47,0
2026-04-30 12:10:00,4619.88,4619.88,4614.88,4618.81,1118,44,0
2026-04-30 12:15:00,4618.73,4620.39,4616.01,4616.66,1019,43,0
2026-04-30 12:20:00,4616.6,4620.29,4615.39,4619.12,1161,43,0
2026-04-30 12:25:00,4619.13,4626.57,4617.46,4625.39,1255,44,0
2026-04-30 12:30:00,4625.43,4631.61,4623.04,4624.25,1707,47,0
2026-04-30 12:35:00,4624.11,4626.41,4620.86,4624.11,1171,44,0
2026-04-30 12:40:00,4624.15,4624.54,4618.34,4619.13,1019,43,0
2026-04-30 12:45:00,4619.14,4624.19,4618.04,4623.46,944,43,0
2026-04-30 12:50:00,4623.56,4627.08,4621.56,4626.52,1007,45,0
2026-04-30 12:55:00,4626.55,4626.55,4623.35,4625.06,887,44,0
2026-04-30 13:00:00,4625.08,4628.76,4623.61,4623.94,1040,46,0
2026-04-30 13:05:00,4623.9,4629.05,4623.58,4625.72,994,44,0
2026-04-30 13:10:00,4625.74,4628.2,4625.09,4626.61,904,43,0
2026-04-30 13:15:00,4626.62,4631.84,4626.06,4628.97,895,45,0
2026-04-30 13:20:00,4628.68,4635.31,4628.38,4634.09,891,46,0
2026-04-30 13:25:00,4634.12,4643.86,4633.24,4643.44,1320,47,0
2026-04-30 13:30:00,4643.46,4646.76,4635.56,4635.69,1597,46,0
2026-04-30 13:35:00,4635.7,4638.65,4634.13,4637.66,1393,45,0
2026-04-30 13:40:00,4637.73,4640.92,4636.27,4636.47,1265,44,0
2026-04-30 13:45:00,4636.53,4638.14,4634.06,4636.66,1171,44,0
2026-04-30 13:50:00,4636.67,4637.96,4635.55,4636.84,1224,43,0
2026-04-30 13:55:00,4636.83,4639.71,4633.74,4639.64,956,43,0
2026-04-30 14:00:00,4639.67,4642.87,4637.68,4641.57,1339,42,0
2026-04-30 14:05:00,4641.58,4645.1,4638.4,4644.77,1228,42,0
2026-04-30 14:10:00,4644.55,4644.6,4635.8,4635.83,1275,42,0
2026-04-30 14:15:00,4635.82,4638.48,4633.52,4635.79,1205,42,0
